original_url,source_website,resolution,search_query,local_path,short_caption
https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj7lil6KKoFFX7k4RjMqWSSNt-3xAQg2Y3XgFSNQOGC5_SzhBATOrzlrFQtyGh1iJ5CNYIWV73oH4qisux6-o3fdywestCFRoF88cqKoaIH3d8TwRnPdtYZaeSDWlwC2PHzlsmNiME-eEnW/s1600/vi%25CC%2589a+he%25CC%2580+sa%25CC%2580i+go%25CC%2580n+tru%25CC%259Bo%25CC%259B%25CC%2581c+75-danlambao.jpg,Danlambao,1600x993,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_ace627c4.jpg,
http://static.mattran.org.vn/zoom/540/uploaded/admin/2020_03_08/image025dqul_exhm.jpg,Mặt trận tổ quốc Việt Nam,540x372,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_bf93ea5c.jpg,
https://thoatnuocdanang.com/uploads/images/1073.jpg,Thoát nước,700x500,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_9c1f690c.jpg,
https://cdn.vietnam.vn/wp-content/uploads/2024/04/Via-he-thanh-bai-do-xe-sang-tranh-cho-nguoi.jpg,Vietnam.vn,1200x675,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_b888af34.jpg,
https://e.khoahoc.tv/photos/image/2017/03/14/via-he.jpg,KhoaHoc.tv,1000x750,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_cbca3322.jpg,
https://ktmt.vnmediacdn.com/images/2024/09/08/98-1725768351-img-7786.jpg,Kinh tế Môi trường,1600x1067,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_69c5a5cf.jpg,
https://img.docnhanh.vn/images/uploads/2025/01/04/w-o-to-do-via-he-21-68986.jpg,Đọc báo,1144x721,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_5a6232e5.jpg,
https://cafefcdn.com/thumb_w/640/203337114487263232/2024/10/11/avatar1728653023879-172865302417133845450.jpg,CafeF,640x335,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_4be9b7d9.jpg,
https://mtcs.1cdn.vn/2023/07/30/W_anh-1m.jpg,Môi trường & Cuộc sống,1200x900,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_8c2c099f.jpg,
https://baovephapluat.vn/data/images/0/2025/01/06/hadnt/14.jpg?dpi=150&quality=100&w=810&h=500&mode=crop&anchor=topcenter,Báo Bảo vệ pháp luật,810x500,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_5a537712.jpg,
https://annacoffee.vn/wp-content/uploads/2023/03/thiet-ke-quan-ca-phe-via-he-7.jpg,Anna Coffee,1429x1071,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_e43435a5.jpg,
https://bna.1cdn.vn/2017/04/19/uploaded-dataimages-201704-original-_images1879320_5.jpg,Báo Nghệ An,550x370,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_2c801aa9.jpg,
https://hnm.1cdn.vn/2023/04/22/hanoimoi.com.vn-uploads-images-canhang-2023-04-22-_6_6_6.jpg,hanoimoi.com,1920x1440,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_d1e02410.jpg,
https://cly.1cdn.vn/2024/06/15/img_0502.jpg,Báo Công lý,1920x1280,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_8b1079e3.jpg,
